Asset No	Capitalized On	Asset Description	S/N	Barcode Name
300034-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2721 SJB	300034-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300035-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2725 SJB	300035-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300036-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2723 SJB	300036-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300037-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2719 SJB	300037-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300038-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2668 SJB	300038-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300039-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2717 SJB	300039-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300040-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2741 SJB	300040-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300041-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2654 SJB	300041-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300042-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2760 SJB	300042-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300043-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2656 SJB	300043-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300044-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2703 SJB	300044-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300045-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2707 SJB	300045-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300046-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2711 SJB	300046-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300047-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2652 SJB	300047-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300048-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2705 SJB	300048-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300049-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2622 SJB	300049-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300050-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2669 SJB	300050-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300051-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2614 SJB	300051-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300052-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2665 SJB	300052-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300053-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2616 SJB	300053-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300054-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2618 SJB	300054-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300055-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2671 SJB	300055-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300056-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2659 SJB	300056-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300057-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2624 SJB	300057-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300058-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2630 SJB	300058-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
300059-0	17/02/2020	1 Hyundai All New Tucson GLS GAS A/T 4x2	B 2663 SJB	300059-0 / 1 Hyundai All New Tucson GLS GAS A/T 4x2
